Epoch: 162, train loss: -1.0579, test auc-roc: 0.8913, test auc-pr: 0.1587, test log prob: -2607.6527
Epoch: 163, train loss: -1.0444, test auc-roc: 0.8925, test auc-pr: 0.1996, test log prob: -2604.4033
Epoch: 164, train loss: -1.0703, test auc-roc: 0.8946, test auc-pr: 0.2051, test log prob: -2597.7392
Epoch: 165, train loss: -1.0801, test auc-roc: 0.8926, test auc-pr: 0.2455, test log prob: -2606.7538
Epoch: 166, train loss: -1.0540, test auc-roc: 0.8937, test auc-pr: 0.2426, test log prob: -2591.6082
Epoch: 167, train loss: -1.0781, test auc-roc: 0.8982, test auc-pr: 0.2211, test log prob: -2611.9187
Epoch: 168, train loss: -1.0495, test auc-roc: 0.9004, test auc-pr: 0.2571, test log prob: -2614.8529
Epoch: 169, train loss: -1.0604, test auc-roc: 0.9043, test auc-pr: 0.2075, test log prob: -2608.9475
Epoch: 170, train loss: -1.0440, test auc-roc: 0.8953, test auc-pr: 0.2370, test log prob: -2590.3523
Epoch: 171, train loss: -1.0513, test auc-roc: 0.9141, test auc-pr: 0.2245, test log prob: -2593.8124
Epoch: 172, train loss: -1.0492, test auc-roc: 0.9078, test auc-pr: 0.1927, test log prob: -2606.1714
Epoch: 173, train loss: -1.0518, test auc-roc: 0.9031, test auc-pr: 0.2040, test log prob: -2616.4756
Epoch: 174, train loss: -1.0576, test auc-roc: 0.8856, test auc-pr: 0.2682, test log prob: -2619.8219
Epoch: 175, train loss: -1.0417, test auc-roc: 0.9047, test auc-pr: 0.2327, test log prob: -2580.5726
Epoch: 176, train loss: -1.0566, test auc-roc: 0.9100, test auc-pr: 0.2255, test log prob: -2583.1229
Epoch: 177, train loss: -1.0736, test auc-roc: 0.9013, test auc-pr: 0.2109, test log prob: -2596.6127
Epoch: 178, train loss: -1.0327, test auc-roc: 0.9031, test auc-pr: 0.1682, test log prob: -2597.7481
Epoch: 179, train loss: -1.0416, test auc-roc: 0.9116, test auc-pr: 0.2386, test log prob: -2587.5191
Epoch: 180, train loss: -1.0885, test auc-roc: 0.9084, test auc-pr: 0.1806, test log prob: -2590.6990
Epoch: 181, train loss: -1.0655, test auc-roc: 0.8919, test auc-pr: 0.1846, test log prob: -2593.0324
Epoch: 182, train loss: -1.0580, test auc-roc: 0.8944, test auc-pr: 0.2235, test log prob: -2604.2425
Epoch: 183, train loss: -1.0596, test auc-roc: 0.9000, test auc-pr: 0.1979, test log prob: -2593.6885
Epoch: 184, train loss: -1.0675, test auc-roc: 0.9172, test auc-pr: 0.2383, test log prob: -2605.1488
Epoch: 185, train loss: -1.0845, test auc-roc: 0.8995, test auc-pr: 0.2598, test log prob: -2603.6794
Epoch: 186, train loss: -1.0655, test auc-roc: 0.8927, test auc-pr: 0.2290, test log prob: -2600.8943
Epoch: 187, train loss: -1.0582, test auc-roc: 0.9075, test auc-pr: 0.2621, test log prob: -2604.9602
Epoch: 188, train loss: -1.0737, test auc-roc: 0.9046, test auc-pr: 0.1863, test log prob: -2597.9121
Epoch: 189, train loss: -1.0395, test auc-roc: 0.8952, test auc-pr: 0.2002, test log prob: -2582.6783
Epoch: 190, train loss: -1.0631, test auc-roc: 0.8965, test auc-pr: 0.1841, test log prob: -2602.7071
Epoch: 191, train loss: -1.0329, test auc-roc: 0.8976, test auc-pr: 0.2188, test log prob: -2620.8531
Epoch: 192, train loss: -1.0646, test auc-roc: 0.8877, test auc-pr: 0.2021, test log prob: -2602.2140
Epoch: 193, train loss: -1.0884, test auc-roc: 0.9021, test auc-pr: 0.2658, test log prob: -2597.5092
Epoch: 194, train loss: -1.0676, test auc-roc: 0.9064, test auc-pr: 0.2288, test log prob: -2593.6613
Epoch: 195, train loss: -1.0461, test auc-roc: 0.8916, test auc-pr: 0.2223, test log prob: -2599.4837
Epoch: 196, train loss: -1.0554, test auc-roc: 0.8949, test auc-pr: 0.1871, test log prob: -2594.1667
Epoch: 197, train loss: -1.0802, test auc-roc: 0.9034, test auc-pr: 0.2343, test log prob: -2599.5981
Epoch: 198, train loss: -1.0661, test auc-roc: 0.8956, test auc-pr: 0.1921, test log prob: -2601.6312
Epoch: 199, train loss: -1.0603, test auc-roc: 0.8978, test auc-pr: 0.2542, test log prob: -2594.2754
test auc-roc: 0.8978, test auc-pr: 0.2542, test log prob: -2594.2754
